ttr,rttr,logttr,mttr,msttr,mattr,hdd,mtld,mtld_mawrap,mtld_mabid
1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,23.0,0.0
0.7708333333333334,5.340489990004039,0.9327642513188372,0.03999173181483321,0.7708333333333334,0.7708333333333334,0.7900559713695701,58.64727272727274,47.08888888888889,0.0
1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,23.0,0.0
1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,23.0,0.0
0.9285714285714286,3.474396144861517,0.9719187714029214,0.02450095253141688,0.9285714285714286,0.9285714285714286,0.0,54.88000000000004,19.0,0.0
0.8181818181818182,3.8376128944009875,0.9350799290239029,0.048360380008131934,0.8181818181818182,0.8181818181818182,0.0,33.88000000000001,26.0,0.0
0.9230769230769231,3.328201177351375,0.9687936498860342,0.028014306157796362,0.9230769230769231,0.9230769230769231,0.0,47.320000000000036,17.0,0.0
0.8636363636363636,4.050813610756598,0.9525715106136456,0.035330518519923505,0.8636363636363636,0.8636363636363636,0.0,45.17333333333334,27.0,0.0
1.0,3.6055512754639896,1.0,0.0,1.0,1.0,0.0,0.0,19.0,0.0
0.8833333333333333,6.84227057829977,0.9697014633759469,0.01703934725323062,0.9,0.9163636363636364,0.9153321644262602,143.99999999999997,74.0,0.0
0.6388888888888888,3.8333333333333335,0.8749763207000147,0.08033379065981465,0.6388888888888888,0.6388888888888888,0.0,28.780748663101605,26.0,20.621323529411764
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.9090909090909091,5.222329678670935,0.972741320266343,0.01795089199895597,0.9090909090909091,0.9090909090909091,0.0,101.63999999999999,42.0,0.0
1.0,3.8729833462074166,1.0,0.0,1.0,1.0,0.0,0.0,21.0,0.0
0.8275862068965517,6.302708777266682,0.9533937555219961,0.0264293436693368,0.86,0.8533333333333334,0.8688963788782306,94.192,67.0,0.0
1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,23.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,2.4494897427831783,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0
0.9411764705882353,3.8805700005813275,0.9786021684729042,0.01739026395596112,0.9411764705882353,0.9411764705882353,0.0,80.91999999999999,23.0,0.0
1.0,3.3166247903554,1.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0
1.0,2.6457513110645903,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0
0.90625,5.126524163602469,0.9715961990255144,0.018871076891746566,0.90625,0.90625,0.0,95.57333333333334,39.708333333333336,10.0
0.7954545454545454,5.276448530110864,0.9395269279378322,0.03679635740498674,0.7954545454545454,0.7954545454545454,0.8029044598812037,60.231111111111105,39.525,19.002450980392158
1.0,3.8729833462074166,1.0,0.0,1.0,1.0,0.0,0.0,21.0,0.0
0.9166666666666666,6.3508529610858835,0.9775234154092083,0.013369041926355326,0.9166666666666666,0.9166666666666666,0.9273049645390076,161.27999999999994,62.0,0.0
0.780952380952381,8.002380598177972,0.9468751161825214,0.026283972432430924,0.83,0.8321428571428576,0.8736053542426709,134.21739130434784,114.0,0.0
0.95,4.2485291572496005,0.9828778776927556,0.013160436242291369,0.95,0.95,0.0,111.99999999999991,27.0,0.0
1.0,3.7416573867739413,1.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0
1.0,2.4494897427831783,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0
0.9166666666666666,4.4907311951024935,0.9726211758407808,0.019836691175813548,0.9166666666666666,0.9166666666666666,0.0,80.63999999999997,31.0,0.0
0.9473684210526315,4.129483209670111,0.9816375134099121,0.014359675371710014,0.9473684210526315,0.9473684210526315,0.0,101.07999999999991,26.0,0.0
1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0
1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,23.0,0.0
1.0,5.196152422706632,1.0,0.0,1.0,1.0,0.0,0.0,38.0,0.0
1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0
0.8372093023255814,5.489948531973768,0.9527594459821269,0.028920395650438933,0.8372093023255814,0.8372093023255814,0.8405315614617944,73.96000000000002,51.0,0.0
0.8913043478260869,6.045120202350782,0.9699451273001678,0.018075315675667072,0.8913043478260869,0.8913043478260869,0.9009661835748788,118.49599999999997,57.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,2.4494897427831783,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0
1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0
0.7352941176470589,7.426106572325057,0.9335164308718151,0.03309945406898295,0.86,0.8207547169811321,0.863944472348498,107.89333333333336,95.34313725490196,25.125
0.8378378378378378,7.207353602116796,0.958892185799318,0.021991823574767054,0.88,0.8663999999999998,0.8891107970791541,127.77333333333334,87.0,0.0
0.9428571428571428,5.578018081208209,0.9834501435568916,0.010718346580426993,0.9428571428571428,0.9428571428571428,0.0,171.49999999999994,46.0,0.0
0.7931034482758621,7.397576490380784,0.9480953015828821,0.026761630928406287,0.88,0.8115789473684214,0.8867197239761979,117.74000000000002,89.82278481012658,27.142857142857142
0.9615384615384616,4.902903378454601,0.9879620776439306,0.008507525864944881,0.9615384615384616,0.9615384615384616,0.0,189.28000000000014,35.0,0.0
0.9615384615384616,4.902903378454601,0.9879620776439306,0.008507525864944881,0.9615384615384616,0.9615384615384616,0.0,189.28000000000014,35.0,0.0
0.6715686274509803,9.591918575591867,0.9251353733129485,0.03241411882426557,0.845,0.8272258064516125,0.8885239900062143,133.1091781643671,123.47058823529412,75.85228346456692
0.9090909090909091,3.015113445777636,0.9602525677891274,0.038167573843514685,0.9090909090909091,0.9090909090909091,0.0,33.879999999999995,14.0,0.0
1.0,3.162277660168379,1.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0
0.9333333333333333,5.11207720338155,0.9797151227215062,0.01373270962940928,0.9333333333333333,0.9333333333333333,0.0,126.00000000000004,39.0,0.0
1.0,1.7320508075688774,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,2.82842712474619,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0
0.8888888888888888,5.962847939999439,0.969058713250018,0.018715855639952296,0.8888888888888888,0.8888888888888888,0.8964646464646467,113.39999999999996,56.0,0.0
1.0,3.464101615137755,1.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0
1.0,2.6457513110645903,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0
0.90625,5.126524163602469,0.9715961990255144,0.018871076891746566,0.90625,0.90625,0.0,95.57333333333334,41.0,0.0
0.9375,3.75,0.9767226489021297,0.019331421646643122,0.9375,0.9375,0.0,71.68,21.0,0.0
0.8970588235294118,7.397336563608156,0.9742543802279272,0.014049383112713934,0.92,0.9052631578947372,0.9334610370606847,184.96000000000006,85.0,0.0
0.8840579710144928,7.343537038231921,0.9708952431191455,0.015827702788370413,0.94,0.9,0.9181423734616839,166.63500000000008,85.0,0.0
0.9375,3.75,0.9767226489021297,0.019331421646643122,0.9375,0.9375,0.0,71.68,21.0,0.0
0.8095238095238095,3.709704134011871,0.9305936816070188,0.05249228979595882,0.8095238095238095,0.8095238095238095,0.0,25.935000000000002,19.31578947368421,10.9
1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,23.0,0.0
1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.9,4.929503017546495,0.9690225224134635,0.020971519763565795,0.9,0.9,0.0,84.00000000000003,38.0,0.0
1.0,2.6457513110645903,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0
1.0,2.23606797749979,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0
0.875,5.533985905294664,0.9638016383333956,0.022594885249334014,0.875,0.875,0.0,89.60000000000001,49.0,0.0
0.8461538461538461,4.314554973040049,0.9487264779561714,0.03623638714987735,0.8461538461538461,0.8461538461538461,0.0,47.32000000000001,31.0,0.0
1.0,3.464101615137755,1.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0
1.0,2.4494897427831783,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0
0.9333333333333333,3.6147844564602556,0.9745230455997932,0.021662395842192553,0.9333333333333333,0.9333333333333333,0.0,63.00000000000002,20.0,0.0
0.9473684210526315,4.129483209670111,0.9816375134099121,0.014359675371710014,0.9473684210526315,0.9473684210526315,0.0,101.07999999999991,26.0,0.0
0.9090909090909091,5.222329678670935,0.972741320266343,0.01795089199895597,0.9090909090909091,0.9090909090909091,0.0,101.63999999999999,42.0,0.0
0.7155172413793104,7.706356534347653,0.9295796293218419,0.03411082765822161,0.81,0.7734328358208958,0.8587297915683839,83.4710667561221,70.65517241379311,51.69647749510763
1.0,1.414213562373095,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0
0.9565217391304348,4.587317109255645,0.9858230443082922,0.010411005280738583,0.9565217391304348,0.9565217391304348,0.0,148.12000000000012,31.0,0.0
0.9375,5.303300858899106,0.9813781191217036,0.012372109853851697,0.9375,0.9375,0.0,143.36,42.0,0.0
1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0
0.972972972972973,5.9183635429928625,0.9924121858067799,0.004838544733608458,0.972972972972973,0.972972972972973,0.0,383.32000000000085,51.0,0.0
0.8888888888888888,4.618802153517006,0.9642630869047907,0.02496703772308148,0.8888888888888888,0.8888888888888888,0.0,68.03999999999998,34.0,0.0
0.9545454545454546,4.477215043467819,0.9849500560613944,0.01121103222823071,0.9545454545454546,0.9545454545454546,0.0,135.52000000000015,30.0,0.0
0.95,4.2485291572496005,0.9828778776927556,0.013160436242291369,0.95,0.95,0.0,111.99999999999991,27.0,0.0
1.0,4.79583152331272,1.0,0.0,1.0,1.0,0.0,0.0,32.0,0.0
0.7552447552447552,9.03141370807658,0.9434369955037286,0.026243241663047753,0.87,0.8759574468085108,0.8903775522495555,163.59199999999998,149.02205882352942,16.5
1.0,4.358898943540673,1.0,0.0,1.0,1.0,0.0,0.0,27.0,0.0
0.9545454545454546,4.477215043467819,0.9849500560613944,0.01121103222823071,0.9545454545454546,0.9545454545454546,0.0,135.52000000000015,30.0,0.0
0.8947368421052632,3.9000674757995495,0.9622251858852542,0.02954033840968185,0.8947368421052632,0.8947368421052632,0.0,50.54000000000001,24.0,0.0
